grocery misc,baby needs,bread and cake,baking needs,juice-sat-cord-ms,tea,biscuits,canned fish-meat,canned fruit,canned vegetables,breakfast food,cigs-tobacco pkts,cigarette cartons,cleaners-polishers,coffee,sauces-gravy-pkle,confectionary,puddings-deserts,dishcloths-scour,deod-disinfectant,frozen foods,razor blades,fuels-garden aids,spices,jams-spreads,insecticides,pet foods,laundry needs,party snack foods,tissues-paper prd,wrapping,dried vegetables,pkt-canned soup,soft drinks,health food other,beverages hot,health&beauty misc,deodorants-soap,mens toiletries,medicines,haircare,dental needs,lotions-creams,sanitary pads,cough-cold-pain,meat misc,cheese,chickens,milk-cream,cold-meats,deli gourmet,margarine,salads,small goods,dairy foods,fruit drinks,delicatessen misc,beef,hogget,lamb,pet food,pork,poultry,veal,gourmet meat,produce misc,fruit,plants,potatoes,vegetables,variety misc,brushware,electrical,haberdashery,kitchen,manchester,pantyhose,plasticware,stationary,prepared meals,preserving needs,condiments,cooking oils,bake off products,small goods2,offal,mutton,trim pork,trim lamb,imported cheese,casks white wine,casks red wine,750ml white nz,750ml red nz,750ml white imp,750ml red imp,sparkling nz,sparkling imp,port and sherry,non host support,total
,,t,t,,t,t,,t,,t,,,,,t,,t,,,t,,,,t,,t,,,,t,,,,,,,,,,,,,,,,,,,,,,,t,,,,t,,,,,,,,,t,,,t,t,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,high
,,t,t,,t,t,,t,,t,,,t,t,t,,,,,t,,,,t,,,t,,,,,,t,,,,t,,,,,,,,,t,,t,,,t,,,,,,t,,t,,,,,,,t,,,t,,,,,,,,,t,,,,,t,t,,,,,,,,,,,,,,,,high
,,,t,t,t,t,t,,t,t,,,,,t,,,,,,,t,t,,,,,,t,t,,,,,t,,,,,,,,,,,,,t,,,,,,,,,t,,,,t,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high
,,t,t,t,,t,,t,t,t,,,t,t,t,t,,,,t,,,,t,,t,,t,t,t,,,t,,t,,t,,,t,,,,,,t,,,,,t,,,t,,,,,,,,,,,,t,,,t,,t,t,,t,,,,,t,,,,t,,,,,,,,,t,,,,,,,,high
,,t,t,,,t,,t,t,,,,,,,,,,,t,,,,t,,t,,t,,t,,,,,,,,,,,,,,,,t,,t,,,t,,,,,,,,,,,,,,,t,,t,t,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,high
,,t,t,,,t,t,t,t,t,,,,t,t,t,t,,,t,,,,,,t,t,t,t,t,,,t,,,,,,,,,,,,,,,t,,,t,,t,,,,,,,t,,,,,,t,,,t,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,high
,,t,,,,,,,t,,,,t,t,,,,,,,,,,t,,t,,t,,,,,,,,,t,,,,,,,t,,,,t,,,,,t,,,,,,,,,,,,,t,,t,t,,,,,,,,,t,,,,,,,t,,,,,,,,,,,,,,,low
,,t,,,,,,,,,,,,,,,,,,,,,,,t,,,t,,,,,,,,,,,,,,t,,,,,,t,,,,,,,,,,,,,,,,,,t,,t,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,t,,t,,,t,,,t,,,,,t,,,,,,,,,,,,,t,t,,,,,,,,,,,,,,,,,t,,t,,,t,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high
,t,t,t,t,,t,,,,t,,,,,t,,,,,t,,,,,,t,t,t,t,,,,t,,,,,,,t,,,t,,,t,,,,t,t,,t,t,,,t,,,,,,,,,t,,,t,,,t,,,,,,t,,,,,,,,,,,,,,,,,,,,,,high
,,t,t,t,,t,t,t,t,,,,,,t,t,,,,t,,,,,,t,,t,t,t,,,t,,,,t,,,,,,,,,t,,t,,,,,,,,,,,,,,,,,,t,,,t,,,,,,,,,,t,,,,,,,,,,,,,t,,,,,,,,low
,,t,,,,t,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,t,,,,,,,,,,,,,t,,,t,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,low
,,t,t,t,,,,,,,,,,,,t,,,,t,,,,,,,,,,,,t,,,,,t,,,,,,,,,t,,,,,t,,,t,,,t,,,t,,,,,,t,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,low
,,t,,t,,,t,,t,,,,,t,t,,,,,t,,,t,,,,,t,t,,,,t,t,,,t,,t,,t,,t,t,,t,,t,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,t,,,,,,,,,,high
,,,t,t,,t,t,t,t,t,,,,,t,t,,,,t,,,,t,,,,,t,,,,t,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,t,,,,,,,t,,,,,,,,,t,,,,,,t,,,t,,,,,,,,,,,,,low
,,t,t,,,,,,,,,,,,t,,,,,,,,,,,,,,,t,,,t,t,,t,,,,,,,,,,t,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,low
,,t,t,,,,,,,t,,,,t,t,,,t,,t,,,t,,,,t,t,t,t,,,t,,,,,,,,,,,,,t,,,t,,,,t,,,,t,,t,,,t,,,,,,,,,,,,t,,,,,t,,,,t,,t,,t,,t,,,,,t,,t,,,,high
,,t,,,,,,,,,,,t,,,,,,,,,t,,,,t,,,,,,,,,,,,,,t,t,,,,,,,t,,,,,,,,,,,,t,,,,,,t,,t,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,t,,t,,t,,t,t,t,,,,,t,t,,,,t,,,,,,,,,t,,,t,t,t,t,,,,,t,t,,,t,,t,,t,t,,,,,t,,,t,,t,,,t,,,,t,,,t,,,,,,,,,,,,,,,t,,,,,t,,,,,,,,,,,high
,,t,t,t,,,,,t,,,,,,t,,,,,,,,,t,,t,,,,,,,t,,,,,,,,,,,,,,,,t,,,,,t,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,t,t,t,t,t,,,,,,,t,t,t,t,,,,t,,,,,,,,t,t,,,,t,,,,,t,,t,,,,,,,,,t,,,,t,t,,,t,,,t,,,,,,t,,,t,,,,,,,,,t,,,,t,,,t,,,,,,,,,,,,,,,high
t,,t,,,,,,,,,t,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,t,,,,,,,t,,,,,,t,,,,,,,,,t,,,t,,,,,,t,,,t,,,,,,,,,,,,,,,,,,,,,,low
,,t,t,,,t,,,,,,,,t,t,,,t,,,,,,t,t,t,t,t,t,,,,,,,,,,,,,,,,,,,t,t,,,,,t,,,t,,,,,t,,,t,,,,t,,,,,t,,,,,,,,,,t,,,,,,,,,,,,,,,,low
,,t,t,t,,,,t,,t,,,t,,t,,,,,t,,,t,,,,,t,t,,,,t,t,,,,,,,t,,,,,t,,,,,t,,,t,,,,,,,,,,,,,,,t,,,,,,,,,t,t,,t,,,,,,,,,,,,,,,,,,,high
,t,t,t,t,t,t,t,,,t,,,,,t,,,t,,t,,,,,,t,t,,,t,,,,,,,,,,,,,,,t,t,,t,,,,,t,,,,t,,,,,t,,,,t,,,t,,,,,,,,,,t,,,t,,t,,,,,,,,t,,,,,,,,high
,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,low
,,t,t,,t,t,,t,,t,,,,,,t,,,,t,,,,,,t,,t,,,,,,,t,,,,,,,,,,,,,t,,,,,t,,,,,,,,,,,,,t,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,t,,t,,,,,,,,,,,t,,,,,,,,,,,,,,t,,,,,,,,,,,,t,,,,,t,,,,,,,t,,,,,,,,,,,,,t,,,t,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,low
,,t,,t,,t,,,,t,,,,,,,,,,,,,,,,,t,,t,,,,t,,,,,,,,,,,,,t,,t,,,t,,t,,,,t,,,,,,,,,t,,,t,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,low
,,,t,,,t,,,,t,,,,,t,t,,,,t,,,,,,t,,,t,,,t,,,,,,,,,,,,,,,,t,,,t,,,,,,,,,t,,,,,,t,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,t,t,t,t,t,t,,,t,t,,,t,,t,,t,t,,t,t,,t,,,,t,t,t,t,,,t,,t,,t,t,t,,t,t,t,,,t,,,,,t,,t,,,,t,,,,,,,,,t,,,t,,,,,t,,,,t,t,,,,,,,,,,,,,,,,,,,,,high
,,,t,,,,t,t,t,t,,,t,,t,,,,,t,t,,t,,,t,,,t,t,,t,,,,,t,,,,t,,t,,,,,t,,,,,,t,,,,,,,,,,,,t,,t,t,,,,,,,,,,t,,,t,t,,,,,,,,,,,,,,,,,low
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,t,t,,t,,,,,low
,,t,t,t,,t,,,t,,,,t,,t,t,,,,t,,,,,,,,,,t,,,,,,,,,,t,,,,,,t,,t,,,t,,,,,,t,t,,,t,,,,,t,,,t,,,,,t,,,,,t,,,,,t,,,,,,,,,,,,,,,,high
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,low
,,,,,,,,,,,,,t,,,,,,,t,,,,,,,t,,t,,,,,,,,,,,,t,,,,,,,t,,,,,,,,,,,,,,,,,,t,,,,t,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,low
,t,t,t,t,,,,t,,t,,,t,,t,t,,,,,,,,t,,t,t,,,,,,t,,,,t,,,t,,,,,,t,,t,,,t,,,t,,,t,,,,,,,,t,t,,t,t,,,,,,,,,,t,,,,t,,,,,,,,,,,,,,,,,high
,,t,t,,,t,t,t,t,,,,,,t,t,t,,,,,t,,,,t,,,,t,,,t,,,,,,,,,,,,,t,,t,,,t,,,,,,t,,,,,,,,,t,,,t,,,,,,,,,t,,,,t,t,t,,,,,,,,,,,,,,,,high
,,t,t,t,,,,,,,,,,,t,,,,,t,,,t,,t,,,,,,,,,,,,,,,,,,,,,,,t,t,,t,,,t,,,t,,t,,t,,,,,t,,,t,,,,,,,,,,,,,t,,t,,,,,,,,,,,,,,,,low
,,,t,t,,,,,,t,,,t,t,t,,,,,t,,,,,t,t,t,t,t,,,,,,t,,t,,,,,,,,,,,,t,,t,,,t,,,t,,,,,,,,,t,,t,t,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,low
,,t,t,,,t,,t,t,t,,,,,t,,,,t,t,,,t,t,,t,t,t,t,t,,,t,,,,t,,,,t,,,,,,,,,,,,t,,,,t,,t,,,t,,,,t,,,t,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,high
,,t,,,,t,,,t,,,,,t,t,,,,t,t,,,,,,,t,t,t,,,,t,,,,t,t,,,t,,,,,t,,t,t,,t,,t,,,,t,,,,,,,,,,,t,,,,,,,,,,,t,,,t,,,,,,,,,,,,,,,,,,low
,,t,t,,t,,t,,t,t,,,t,,t,,t,t,,,,,,t,,t,,t,t,,,t,,,,,,,,t,t,,,,,t,,t,,,t,,t,t,,,t,,,,,,,,,,,,t,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,high
,,t,t,,t,,t,t,,t,,,,,t,,,,,t,,,,,,t,,,,t,,,,,,,,,,,,,,,,,,t,,,t,,,t,,,t,,,,,,,,,t,,t,t,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,low
,,t,t,t,t,t,,t,t,t,,,t,,t,t,,t,,t,,,,t,,t,t,t,t,t,,t,,,,,,,,t,,,,t,,t,,t,,,t,,,t,,,t,,,,,t,,,t,t,,,t,,,,,t,,,,t,t,,,t,t,,,,,,t,,,,,,,,,,,high
,,,,t,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,t,,,,,,,,,,,,,t,,,t,,,,,,,,,,,,,,,,,t,,,t,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,low
,,t,t,t,,t,,t,,t,,,t,t,,t,t,,t,t,,,,t,,t,,t,t,t,,,,,,,t,,,t,,,,,,,,t,,,,,t,,,,,,,,,,,,,t,,t,t,,,,,t,,,,,t,t,,,,,,,,,,,,,,,,,,,,high
,,t,t,,t,t,,t,t,,,,,,,t,,t,t,,,,,t,t,,,,,,,,,,,,t,,,t,t,,t,,,t,,t,,,t,,t,,,t,t,,,,,t,,,,t,,t,t,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,high
,,t,t,t,,t,,t,t,t,,,,,t,t,,,,t,,,,,,,,t,,t,,,t,,,,,t,,,,,,,,t,,,,,,,,,,,t,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,,t,,,t,t,,t,,,,t,,,,,,,t,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,t,,,,t,,,,,,,,,,,,t,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,low
,,t,,t,,t,,,,t,,,,,,t,,,,,,,,t,,,t,t,,,,,t,,,,,,,,,,,,,,,t,,,,,,t,,,,,,,,,,,,t,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,t,,,,,,,,,,,t,,t,,,,,,,,,,t,,t,t,,,,,t,,,,t,t,,,t,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,low
,,t,,t,,,t,,,,,,,,,,,,,,,,,t,,,t,t,t,t,,,,,,,,,,,,,,t,,,,,,,t,,t,,,,,,,,t,,,,,,,t,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,t,t,,t,t,,,,,,,,,t,,,,,t,,t,,t,,,,,t,,,,,,,,,,,,,t,t,,,,,t,,,t,,,,,,,,,,,,,,,,,,t,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,high
,,t,,,,,,,,t,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,t,,t,,,,,,,,,t,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,t,,t,,,,,,,,,,,low
,,t,t,t,,t,,,t,t,,,,,t,,,,,t,,,,t,,t,,t,t,,,,,,,,,,,,,,,,,t,,,,,t,,,t,,,,,,t,,,,,,t,,,t,,,,,,,,,,t,,,,,t,,,,,,,,,,,,,,,,low
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,t,t,,t,t,,,,,,,t,,t,t,,t,,t,,,,t,,,,,t,t,,,t,,,,t,t,,,,,,,,,,t,,,t,,,,,,t,,,,,,,,,,,t,t,t,,,,t,,,,,,t,,,,,,,,,,,,,,,,,,,,low
,,t,t,t,t,t,t,t,,t,,,,t,t,,,t,t,,,,t,,,t,t,t,t,,,,t,,,,,,t,,,t,,,,,,t,,t,,,,t,,,,,,,,,,,,t,,,t,t,,,,,,,,,,,t,,,,,,,,,,,t,,,,,,,,high
,t,t,t,t,,t,,,,,,,,,,,,,,t,,,,,,,,t,,,,,t,,,,,,t,,,,,,,,,,,,t,,t,,,,t,,,,,,,,,t,,,t,,,t,,,,,,t,,,,,,,,,,,,,,,,,t,,,,,low
,,t,t,,t,t,t,t,t,t,,,,t,t,,t,,,t,t,,,t,,t,t,t,t,t,,,t,,,,t,,,,,,,,,,,t,,,t,,,t,,,t,,,,,,,,,t,,,t,,,,,t,t,,,t,t,,,,t,t,,,,,,,,,,,,,,,,high
,,t,t,,t,,t,t,t,,,,t,,t,,,,,t,,,,,,,,,,,,,t,,,,,,,,,,,,,t,,,,,t,,,t,,,t,,,,t,t,,,,t,,t,t,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,high
,,,t,t,,,,,,,,,,,t,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,t,,t,,,,,,t,,,,,t,,,,,,,t,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,t,t,,,,,,t,,,,,,,,,,,,,,,,,,t,,,,,,,,,,t,,,,t,,,,,,,t,,,t,,,,,,t,,,,,,,,,,,,t,,,,,,,,,,t,,,,t,t,,,,,,,,,,,,,,,,low
,t,t,t,t,,t,,,t,,,,t,,t,t,,t,,,t,,,,t,t,t,t,t,t,,t,t,,,,t,,t,,,t,,,,t,,t,,,t,,,t,,,t,,,,,,,,t,,,t,t,,,,,t,,,t,,,,,t,,,,,,,,,,,,,,,,,,high
,,t,t,t,t,,,,,t,t,,t,,,,,,,,,t,,,,,,,t,,,,,,,,,,,,,,,,,,,t,,,,,t,,,,,,,,t,t,,,,t,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,t,t,,t,t,t,,,t,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,t,,,,,,,,,t,t,,,t,,,,,t,,t,t,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,t,t,t,,t,t,t,t,t,,,,,t,t,,,,t,,,,,,,,t,t,t,,,t,,t,,,,,t,,,t,,,t,,,t,,t,,t,,,,,,,,,,,,,t,,,t,,,,,,,,,,,,t,,,t,,,,,,,,,,,,,,,,high
,,t,t,,,t,t,,t,t,,,t,t,,t,,,t,,,,,,,,t,,t,,,t,t,t,,,t,,,,,,,,,t,,,t,,t,,,t,,,t,,,t,,,,,,t,,,t,,,,,,,,,,,,t,,,t,,,,,,,,,,t,,,,,,high
,t,t,t,t,,t,,t,,,,,t,,,t,,t,,t,,,,,,,,t,t,,,,,,,t,,,,t,t,,,,,t,,t,t,,t,,,,,,t,,,,,,,,,t,,,t,,,t,,,,,,,,,,,,t,,,,,,,,,,,,,,,,high
,,t,,t,,,t,,t,t,,,,,t,t,,,,,,,,,,,t,,t,,,,,t,,,t,,,,,,,t,,,,t,,,t,,,t,,,,,t,,,t,,,,t,,,t,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,high
,,,t,t,,,,,,,,,,,t,t,t,,,,,,,,,,t,t,,,,,t,t,,,,,,,,,,t,,,,,,,t,,t,,,,,,,,,,,,,t,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,low
,,t,t,t,,t,t,,t,,,,t,,t,,t,t,,t,,,,t,,t,t,t,t,,,,,,,,t,,,,,t,,,,,,t,,,,,,,,,,,,,,,,,t,,,,t,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,low
,,t,t,,t,t,t,,t,,,,,,,t,t,,,,,t,,,,,,t,,,,,,,,,,,,t,,,t,,,,,t,,,t,,,,,,,,,,,,,,,t,,,t,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,t,t,t,,,t,,,t,,,,,,t,,,,,t,t,,,t,,t,t,,t,t,,,,t,,,t,,,,t,,,,,,,t,t,,,,t,,,,,,,,,,,,,t,,,t,,,,,,,,,,t,,,,t,t,,,,,,,,,,,,t,,t,,high
,,t,,,,,t,,t,,,,,,t,,,,,t,,,,,,,,t,,,,t,t,,,,t,,,t,,,,,,t,,,,,t,,t,t,,,,,,,,,,,,,,,t,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,t,low
,,t,t,t,,t,,,t,,,,,,,t,,,,,,,,,t,t,t,,,t,,,,,,,,,,,,,,,,t,,,,,t,,,,,,,,,,,,,,,t,,,t,,,,,,,,,t,t,,t,,,,,,,,,,,,,,,,,,,low
,,t,,t,,,,t,,,t,,,,t,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,t,,,t,,,t,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,t,t,t,t,t,,t,t,t,,,,,t,,t,t,,t,,t,,t,,,,,t,t,,t,t,,,,t,,,,t,,,,,,,t,,,t,,t,,,,t,,t,,,,,,,t,,t,t,,,,,,,t,,,,,,t,t,,,,,,,,,,,,,,,,,high
t,,t,t,,,t,,t,t,,t,,,t,,,,,,,,,,,t,t,,t,t,,,,,,,,,,,t,,,,,,,,t,,,,,t,,,,t,,,,,t,,,t,,,,t,t,,,,,,,,t,,,,,,t,,,,,,,,,,,,,,,,high
,,t,,t,t,,t,,,t,,,t,,t,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,t,,,,,,t,t,,,,,,,,,t,,,,,,,,,,,,,,,,,,t,,,,low
,,t,t,t,,t,,,t,t,,,t,,,t,,,,t,,,,,t,t,t,t,t,t,,,t,,,,,,,,,,,,,,,,,,,,t,,,,t,,,t,,,,,,,,,,,t,,,,,,,,,,,,t,t,,,,,,,,,,,,,,,,high
,,t,t,,t,,t,,t,,,,,t,t,t,,,,t,,,,,,,,,t,t,,t,t,,,,t,,,,,,,,,t,,,,,t,,t,t,,,,,t,,t,t,,,,t,,,t,,,,,t,,,,,t,,,,,t,,,,,,,,t,,t,,,,,,high
,t,t,t,t,t,t,,t,t,,,,t,,t,t,,,,t,,t,,,,,,t,t,t,,,,,,,,,,,t,,,t,,,,t,,,t,,t,,,,,,,,,t,,,,t,,t,t,,,,,,,,,t,t,,,,,,,,,,t,,,t,,t,,,,,,high
,,t,t,t,,,,t,,t,,,,,,,,,,,,,,,,,t,t,,,,t,t,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,low
,,t,,t,,t,,,,,,,,,,t,,t,t,t,,,,,t,,t,t,,,,,t,,,,,,,,,,,,,,,t,,t,,,,,,,,,,,,,,,,,,,,,,t,,,,,,t,,,,,,,,,,,t,,,,,,,,,,,low
,,t,t,t,,t,,t,,t,t,,,t,t,t,,,,t,,,,,,t,t,t,,t,,,t,,,,,,,t,,,,,t,,,t,,,t,,,,,,t,,,,,t,,,t,t,,,t,,,,,,,,,,t,,,t,,t,,,,,,,,,,,,,,,,high
,t,,t,t,,t,,,,t,,,,,t,,,,,t,,,,,,,,t,t,,,,t,,,,,,,t,,,,t,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,t,,,low
,,t,,t,,t,,t,t,t,,,,,,,,,,t,,,,t,t,,,t,t,,,,,t,,,,,,,,,,,,t,,t,,,,,,,,,t,,,,,t,,,,t,,,t,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,high
,,t,t,t,t,t,,,t,,,,t,,,,,,,t,,,,,,,,t,t,,,,,,,,,,t,t,t,t,,,,t,,,t,,,,t,,,,,,,,,,,,,t,,,t,,,,,,,t,,,t,,,,,t,,,,,,,,,,,,,,,,high
,,t,t,,,t,t,t,t,,,,,,t,t,,t,,,t,,,,,t,,t,t,,,,,,,,,,,,,,,,,t,,,t,,t,,,t,,,t,,,,,,,,t,t,,,t,,,,,,,,,,,,,,,,,,,t,t,,,,,,,,,,,low
,,t,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,t,,t,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,t,t,t,t,,,,,,,,t,t,,,,,,,,,,t,,t,,,,,,,t,,,,,,,t,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,t,,,,,,,,,,,,,,,,,,,,,t,low
,t,t,,t,,,,,,t,,,,,t,,t,,,,,,t,,,,,,,t,,,,,,,t,,,,,,,,,,,t,t,,,,,t,,,t,,,,,t,,,,,,,t,,,,,,,,,t,t,,,,t,,,,,,,,,,,,,,,,,high
,t,t,t,t,t,t,,,,,t,,,,,t,,,,t,,,,,,,,t,,t,,,,,,,,,,,,,,,,t,,t,,,,,,,,,t,,,,,,,,,t,,,t,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,low
,,t,,t,,,,,,,,,,,,t,,,,t,,,,,,,,,,,,,t,t,,,,,,,,,t,,,,,t,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,t,t,,,,,,,,,,,,,,,,low
,,t,t,t,t,,t,,,,,,t,,,,t,,,,,,,,,,t,,t,,,,,,,,,,,t,,,,,,,,t,,,,,,,,,,,,,,,,,,t,,,t,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,low
,,,,,,t,,,,t,,,,,t,t,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,t,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,t,t,t,,,,,,,t,,,,,,,,,,,,,,,,,t,,,,,t,,,,,,,,,,,,,t,,t,,,,,,t,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,,t,t,,t,,,,t,,,,,,,,,,t,,,,,,t,t,t,,,,,,,,,,,,,,,,,,t,,t,,,,,,t,,,t,,,t,,t,,,t,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,,t,t,t,,t,,,t,,,,,,t,,,,,t,,,,t,t,t,,,t,,,,,,,,,,,,,,,,,,,t,,,,,t,t,,,,,,t,,,,,,t,,t,,,t,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,low
,,t,,t,,t,,t,t,t,,,t,t,t,t,t,t,t,t,,,,t,,t,,t,,t,,,t,,,t,,,,,,,t,,,,,t,t,,t,,,t,,,t,,t,,,,,,,,,,t,t,,t,,,,,,,t,,,,,,,,,,,,,,,t,,,,,,high
t,,t,,,,,,,,,t,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,t,t,,,,,,,,,,,,t,,,t,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,low
,,t,t,t,,t,,,t,,,,,t,t,t,,,t,t,,,t,t,,t,t,t,t,t,,,t,,t,,t,,,t,t,,t,,,t,,t,,,t,,,t,,,t,,,t,,,,,t,t,,t,t,,,,,,,,,t,,,,,t,t,,,,,,,,,,,,,,,,high
,t,t,t,t,t,t,t,t,t,t,,,t,,t,t,t,t,,t,,,,t,,t,t,t,t,,,t,,,,,t,,,,t,,,,,t,,t,,,t,,t,t,,,t,,,t,,,,,,t,,,,,,t,,,,,,,t,,,,,t,,,,,,,,,,,,,,,,high
,,t,t,t,,,,,t,t,,,,,t,,,,,,,,,,,t,t,,t,t,,,,,,,t,t,,t,t,,,t,,t,,t,,,t,,,,,,t,,,,,t,,,,,,,t,,,,,,,,,,t,,,t,,t,,,,,,,,,,,,,,,,high
,,t,,t,,t,t,,t,,,,,t,t,,,,t,t,,,,,,t,t,t,t,,,,t,,,,,,,,,,,,,t,,t,,,t,,t,t,,,t,,t,,,t,,,,t,,,t,,,,,,,,,t,,,,,,,t,,,,,,,,,,,,,,,high
,,,t,t,,t,,,,,,,,,t,,,,,,,,,t,,,,t,,,,,,,,,,,,,,,,,,t,,t,,,t,,t,t,,,,,,,,t,,,,t,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
,t,t,t,t,t,t,t,t,t,t,,,t,t,t,t,t,,,t,,,,t,,t,,t,t,t,,,t,,,,t,t,t,,t,t,,t,,t,,t,,,t,,,,,,t,,,,,,,,,t,,,t,,,,,,,,,,t,,t,,,t,,,,,,,,,,,,,,,,high
,,t,t,,,t,t,t,t,t,,,,t,t,,t,,,,,,,,,t,t,,t,t,t,,,,,,,,,,,,,,,,,t,,,,,,t,,,t,,t,t,,t,,,,,,,,,,,,,,,,t,t,,,,,,,,,,,,,,,,,,,,,high
